Legal Entity,Trading Name / Service,Service Type,CQC Regulated?,CQC Location ID / Note,Phone,Postcode,Client Status,Conflict Of Interest Note
Kaplan Care Limited,Kaplan Care Dartford,Domiciliary Care,Yes,1-9104134215 https://www.cqc.org.uk/location/1-9104134215,07301288822,DA1 2JH,Lead,
Lanh Professionals LLP,LANH,Domiciliary Care,Yes,1-3941691925 https://www.cqc.org.uk/location/1-3941691925,03333583664,DA1 5FS,Lead,
Liznett Care Services Ltd,Liznett Care Services Limited,Domiciliary Care,Yes,1-1672753739 https://www.cqc.org.uk/location/1-1672753739,01322438057,DA1 4SL,Lead,
Smartlinks Care Services UK Ltd,London House Business Centre Thames Road Crayford,Domiciliary Care,Yes,1-14479022701 https://www.cqc.org.uk/location/1-14479022701,01322586755,DA1 4SL,Lead,
MA Healthcare Support Ltd,MA HEALTHCARE SUPPORT LTD OFFICE G07A BRUNEL WAY,Domiciliary Care,Yes,1-23115790475 https://www.cqc.org.uk/location/1-23115790475,02030893548,DA1 5GA,Lead,
MC Care Services Ltd,MC Care,Domiciliary Care,Yes,1-8906225702 https://www.cqc.org.uk/location/1-8906225702,,DA1 1UP,Lead,
Mercy Care Limited,Mercy Care Limited,Domiciliary Care,Yes,1-13466153224 https://www.cqc.org.uk/location/1-13466153224,01322536432,DA1 4SL,Lead,
Moniks Care Services Ltd,Moniks Care Services Limited,Domiciliary Care,Yes,1-12925780008 https://www.cqc.org.uk/location/1-12925780008,07904995201,DA1 1DZ,Lead,
Nomase Supported Limited,Nomase Supported Limited,Domiciliary Care,Yes,1-13536647790 https://www.cqc.org.uk/location/1-13536647790,07935757467,DA1 2JH,Lead,
Peter-Philip Care Ltd,Peter-Philip Care Ltd,Domiciliary Care,Yes,1-11959307847 https://www.cqc.org.uk/location/1-11959307847,01322946399,DA1 4SL,Lead,
Optimal Care Group Ltd,Prestige Nursing and Care - Dartford,Domiciliary Care,Yes,1-22324098198 https://www.cqc.org.uk/location/1-22324098198,01322772472,DA1 1EX,Lead,
Refined Care Services Ltd,Refined Care Services,Domiciliary Care,Yes,1-23408099308 https://www.cqc.org.uk/location/1-23408099308,,DA1 1TH,Lead,
Retons Care and Training Services Ltd,Retons Care and Training Services Ltd,Domiciliary Care,Yes,1-2041988093 https://www.cqc.org.uk/location/1-2041988093,07476066043,DA1 5FS,Lead,
Spire Care Ltd,Right at Home Bexley & Dartford,Domiciliary Care,Yes,1-18125956823 https://www.cqc.org.uk/location/1-18125956823,01322933933,DA1 5GA,Lead,
SilverBirch Healthcare Ltd,SilverBirch Healthcare Ltd,Domiciliary Care,Yes,1-4647280740 https://www.cqc.org.uk/location/1-4647280740,01689414689,DA1 2JS,Lead,
Sunlite Recruitment Company Limited,Sunlite Recruitment Company Limited,Domiciliary Care,Yes,1-7647113324 https://www.cqc.org.uk/location/1-7647113324,01322551943,DA1 3QG,Lead,
Ophrah Oak Ltd,The Base Business Park,Domiciliary Care,Yes,1-4307224457 https://www.cqc.org.uk/location/1-4307224457,02083013146,DA1 5FS,Lead,
Vila Pvt Ltd,Vila Homecare,Domiciliary Care,Yes,1-11909397939 https://www.cqc.org.uk/location/1-11909397939,02033717015,DA1 2EN,Lead,
Westminster Homecare Limited,Westminster Homecare Limited – Greenwich and North Kent,Domiciliary Care,Yes,1-283171851 https://www.cqc.org.uk/location/1-283171851,01322280680,DA1 2AU,Lead,
Your Care Nursing Ltd,Your Care Nursing Ltd,Domiciliary Care,Yes,1-15642971295 https://www.cqc.org.uk/location/1-15642971295,07985713385,DA1 1TQ,Lead,
Forever Care Agency Ltd,Forever Care Agency,Domiciliary Care,Yes,1-17717913865 https://www.cqc.org.uk/location/1-17717913865,02034323825,DA10 0LH,Lead,
Grow Care Agency Limited,Grow Care Agency Limited,Domiciliary Care,Yes,1-19238830265 https://www.cqc.org.uk/location/1-19238830265,07412556546,DA10 1DR,Lead,
Sacred Heart Healthcare Services Ltd,Head Office,Domiciliary Care,Yes,1-21990003448 https://www.cqc.org.uk/location/1-21990003448,,DA10 1DN,Lead,
Mayflower Care Home (Northfleet) Limited,Mayflower Care Home,Nursing Home,Yes,1-160563690 https://www.cqc.org.uk/location/1-160563690,01474531030,DA11 7DX,Lead,
Ventas Opco UK Limited,Mayflower Care Home,Nursing Home,Yes,1-21533595162 https://www.cqc.org.uk/location/1-21533595162,01474531030,DA11 7DX,Lead,
Simply Care Group UK Ltd,Squadron Manor,Nursing Home,Yes,1-25712434602 https://www.cqc.org.uk/location/1-25712434602,01413331495,DA11 7FF,Lead,
Belmont Healthcare (Wombwell) Limited,Wombwell Hall,Nursing Home,Yes,1-13826275233 https://www.cqc.org.uk/location/1-13826275233,01474569699,DA11 8BL,Lead,
Choice Support,Benham Lodge,Residential Care,Yes,1-15199004706 https://www.cqc.org.uk/location/1-15199004706,01474533108,DA11 0HZ,Lead,
Kent County Council,Gravesham Place Integrated Care Centre,Residential Care,Yes,1-133266596 https://www.cqc.org.uk/location/1-133266596,01474360500,DA11 0BY,Lead,
National Autistic Society (The),Overcliffe House,Residential Care,Yes,1-134621142 https://www.cqc.org.uk/location/1-134621142,01474558871,DA11 0EH,Lead,
National Autistic Society (The),Pelham Manor,Residential Care,Yes,1-134621170 https://www.cqc.org.uk/location/1-134621170,01474352591,DA11 0HU,Lead,
Evergreen Healthcare 2004 LTD,The Hollies Residential Home,Residential Care,Yes,1-9805787175 https://www.cqc.org.uk/location/1-9805787175,01474568998,DA11 0SE,Lead,
Toqeer Aslam,Welcome House - Ruby Lodge,Residential Care,Yes,1-125730602 https://www.cqc.org.uk/location/1-125730602,01474355594,DA11 0HZ,Lead,
Alzheimer's and Dementia Support Services,"Alzheimer's and Dementia Support Services, Safeharbour Memory Wellbeing Centre",Domiciliary Care,Yes,1-226611712 https://www.cqc.org.uk/location/1-226611712,01474533990,DA11 8AE,Lead,
Austen Allen Healthcare Limited,Austen Allen Homecare - Gravesham,Domiciliary Care,Yes,1-2136980291 https://www.cqc.org.uk/location/1-2136980291,01474558790,DA11 0LZ,Lead,
Best2 Care Ltd,Best2 Care Ltd – Gravesend Office,Domiciliary Care,Yes,1-8134636039 https://www.cqc.org.uk/location/1-8134636039,01474632888,DA11 0BH,Lead,
Better Families Social Work Services Ltd,Better Families Social Work Services Ltd,Domiciliary Care,Yes,1-19321224706 https://www.cqc.org.uk/location/1-19321224706,07856912437,DA11 0NH,Lead,
Beulah Care Training And Services Limited,Beulah Care Training And Services Limited,Domiciliary Care,Yes,1-14395106088 https://www.cqc.org.uk/location/1-14395106088,07919093754,DA11 7ED,Lead,
Blanche Caring Heart Ltd,Blanche Caring Heart Ltd,Domiciliary Care,Yes,1-12465104017 https://www.cqc.org.uk/location/1-12465104017,07473639396,DA11 9PN,Lead,
Ezzie-Daisy Care Services Limited,Ezzie-Daisy Care Services Limited,Domiciliary Care,Yes,1-19883404929 https://www.cqc.org.uk/location/1-19883404929,07832238516,DA11 7RQ,Lead,
DMC Consulting Services Ltd,Gravesend,Domiciliary Care,Yes,1-3928813468 https://www.cqc.org.uk/location/1-3928813468,07525497949,DA11 0RZ,Lead,
Greener Pastures Ltd,Greener Pastures Ltd,Domiciliary Care,Yes,1-10675883005 https://www.cqc.org.uk/location/1-10675883005,,DA11 7JG,Lead,
MRJ Care Limited,MRJ Care Ltd t/a MAUCARE Services,Domiciliary Care,Yes,1-6088137470 https://www.cqc.org.uk/location/1-6088137470,01322466578,DA11 0PR,Lead,
Noblewave Solutions Ltd,Noblewave Solutions Ltd,Domiciliary Care,Yes,1-19829538094 https://www.cqc.org.uk/location/1-19829538094,,DA11 9GP,Lead,
P2P Recruitment Limited,P2P Care Support,Domiciliary Care,Yes,1-19565092675 https://www.cqc.org.uk/location/1-19565092675,02039542222,DA11 0RZ,Lead,
Penny Care Limited,Penny Care Limited,Domiciliary Care,Yes,1-13945930703 https://www.cqc.org.uk/location/1-13945930703,07727142171,DA11 0DF,Lead,
Resilient Healthcare Limited,Resilient Healthcare Limited,Domiciliary Care,Yes,1-21880670500 https://www.cqc.org.uk/location/1-21880670500,07359381779,DA11 8HN,Lead,
Serene Home Care Limited,Serene Home Care Limited,Domiciliary Care,Yes,1-7985016750 https://www.cqc.org.uk/location/1-7985016750,,DA11 0LU,Lead,
TASHN Limited,Tashn Limited,Domiciliary Care,Yes,1-14415894032 https://www.cqc.org.uk/location/1-14415894032,07811437116,DA11 0RG,Lead,
Timesurg Healthcare Services Ltd,Timesurg Healthcare Services,Domiciliary Care,Yes,1-19244755835 https://www.cqc.org.uk/location/1-19244755835,,DA11 0SQ,Lead,
Deenex Intl Limited,Deenex Intl Limited T/A Greenbanks Heritage,Supported Living,Yes,1-18935235373 https://www.cqc.org.uk/location/1-18935235373,,DA11 8QX,Lead,
Kent Association for Spina Bifida and Hydrocephalus,Gingerbread Office,Supported Living,Yes,1-6852915315 https://www.cqc.org.uk/location/1-6852915315,01474536501,DA11 9HU,Lead,
National Autistic Society (The),NAS Community Services (Kent),Supported Living,Yes,1-9665521940 https://www.cqc.org.uk/location/1-9665521940,01474535057,DA11 0DN,Lead,
FitzRoy Support,Pelham Road,Supported Living,Yes,1-120635041 https://www.cqc.org.uk/location/1-120635041,01474321079,DA11 0JB,Lead,
Rehoboth Care UK Limited,Rehoboth Care UK,Supported Living,Yes,1-24218952740 https://www.cqc.org.uk/location/1-24218952740,01474368145,DA11 8QX,Lead,
National Autistic Society (The),Echo Square House,Residential Care,Yes,1-134621004 https://www.cqc.org.uk/location/1-134621004,01474558871,DA12 1QH,Lead,
Independence-Development Ltd,Edwin Therapeutic Unit,Residential Care,Yes,1-604758333 https://www.cqc.org.uk/location/1-604758333,01474323891,DA12 1EJ,Lead,
Gravesend Independent Living Services Limited,Larchwood Grove,Residential Care,Yes,1-12777328156 https://www.cqc.org.uk/location/1-12777328156,01474355967,DA12 1QH,Lead,
Achieve Together Limited,Sheringham House,Residential Care,Yes,1-9176612575 https://www.cqc.org.uk/location/1-9176612575,01474329807,DA12 1NR,Lead,
Willowbrook Healthcare Limited,Springwood Corner Care Home,Residential Care,Yes,1-28924840155 https://www.cqc.org.uk/location/1-28924840155,01604675566,DA12 5AL,Lead,
WT RB Opco 1 Limited,Springwood Corner Care Home,Residential Care,Yes,1-23488980762 https://www.cqc.org.uk/location/1-23488980762,01604675566,DA12 5AL,Lead,
Betterliving Care Limited,Betterliving Care Limited,Domiciliary Care,Yes,1-4499802327 https://www.cqc.org.uk/location/1-4499802327,07480316307,DA12 2PN,Lead,
Ampi Limited,Bluebird Care (Gravesham & Dartford),Domiciliary Care,Yes,1-207238514 https://www.cqc.org.uk/location/1-207238514,01474560160,DA12 2DL,Lead,
Ampi Limited,"Bluebird Care (Maidstone, Tonbridge & Royal Tunbridge Wells)",Domiciliary Care,Yes,1-159640070 https://www.cqc.org.uk/location/1-159640070,01622618786,DA12 2DL,Lead,
Faysha Limited,Faysha Limited,Domiciliary Care,Yes,1-14636876805 https://www.cqc.org.uk/location/1-14636876805,,DA12 2EE,Lead,
Sanctuary Home Care Limited,Gravesend Care Services,Domiciliary Care,Yes,1-2481243083 https://www.cqc.org.uk/location/1-2481243083,07442492984,DA12 5FG,Lead,
Kent County Council,Kent Enablement at Home,Domiciliary Care,Yes,1-247987487 https://www.cqc.org.uk/location/1-247987487,03000411480,DA12 1AU,Lead,
Health and Social Ltd,Office,Domiciliary Care,Yes,1-22156827039 https://www.cqc.org.uk/location/1-22156827039,07947499780,DA12 2AX,Lead,
Marker Care UK Limited,Shamrock Road,Domiciliary Care,Yes,1-15920632534 https://www.cqc.org.uk/location/1-15920632534,07575154975,DA12 2LH,Lead,
Age Concern Gillingham,The Clarendon Royal Community,Domiciliary Care,Yes,1-28518478901 https://www.cqc.org.uk/location/1-28518478901,01634572616,DA12 2BE,Lead,
Vitality Home Health Ltd,Vitality Home Health Gravesham & Dartford,Domiciliary Care,Yes,1-5995861494 https://www.cqc.org.uk/location/1-5995861494,01474240909,DA12 1DP,Lead,
Forge House Care Ltd,Forge House Care North Kent,Supported Living,Yes,1-14764795930 https://www.cqc.org.uk/location/1-14764795930,01634671404,DA12 5PA,Lead,
RCH Care Homes Limited,Withens Nursing Home,Nursing Home,Yes,1-118093600 https://www.cqc.org.uk/location/1-118093600,01474834109,DA13 9NQ,Lead,
Nicholas James Care Homes Ltd,Dale Lodge,Residential Care,Yes,1-137862220 https://www.cqc.org.uk/location/1-137862220,01474834877,DA13 9NX,Lead,
Nicholas James Care Homes Ltd,Dale Mount,Residential Care,Yes,1-137862205 https://www.cqc.org.uk/location/1-137862205,01474832461,DA13 9NX,Lead,
Chestnuts Home Ltd,The Chestnuts Care Home,Residential Care,Yes,1-12039820541 https://www.cqc.org.uk/location/1-12039820541,01474812152,DA13 9AH,Lead,
GCH (South) Ltd,Baugh House Care Centre,Nursing Home,Yes,1-3618662661 https://www.cqc.org.uk/location/1-3618662661,02086201007,DA14 5ED,Lead,
Care UK Care Services Limited,Smyth Lodge,Nursing Home,Yes,1-19896835514 https://www.cqc.org.uk/location/1-19896835514,02080519190,DA14 6LF,Lead,
Care UK Community Partnerships Ltd,Smyth Lodge,Nursing Home,Yes,1-6024238392 https://www.cqc.org.uk/location/1-6024238392,02080519190,DA14 6LF,Lead,
Bupa Care Homes (ANS) Limited,The Sidcup Care Home,Nursing Home,Yes,1-127818934 https://www.cqc.org.uk/location/1-127818934,02083007711,DA14 4BG,Lead,
Willowbrook Healthcare Limited,Frognal House Care Home,Residential Care,Yes,1-15519796391 https://www.cqc.org.uk/location/1-15519796391,02083026200,DA14 6LF,Lead,
Willow Tower Opco 1 Limited,Frognal House Care Home,Residential Care,Yes,1-3876084699 https://www.cqc.org.uk/location/1-3876084699,02083026200,DA14 6LF,Lead,
Quo Vadis Trust,Hatherley Lodge,Residential Care,Yes,1-13258995162 https://www.cqc.org.uk/location/1-13258995162,02083097905,DA14 4BH,Lead,
Oakfields Care Limited,Loring Hall Limited,Residential Care,Yes,1-126032248 https://www.cqc.org.uk/location/1-126032248,02083029302,DA14 5ES,Lead,
The Drive Care Homes Limited,The Drive,Residential Care,Yes,1-114664194 https://www.cqc.org.uk/location/1-114664194,02083090440,DA14 4ER,Lead,
Bromley Healthcare Community Interest Company,Bromley Healthcare Care at Home,Domiciliary Care,Yes,1-27765785605 https://www.cqc.org.uk/location/1-27765785605,03003036090,DA14 5HS,Lead,
First Option Support Ltd,First Option Support Ltd,Domiciliary Care,Yes,1-18378799289 https://www.cqc.org.uk/location/1-18378799289,,DA14 5JL,Lead,
Reflection of Care Ltd,Reflection of Care Ltd,Domiciliary Care,Yes,1-19354368850 https://www.cqc.org.uk/location/1-19354368850,01322472655,DA14 6PE,Lead,
Safe Path Care Ltd,Safe Path Care Ltd,Domiciliary Care,Yes,1-20709382911 https://www.cqc.org.uk/location/1-20709382911,02071395110,DA14 6AU,Lead,
Sendtivate CIC,Sendtivate CIC,Domiciliary Care,Yes,1-24251913109 https://www.cqc.org.uk/location/1-24251913109,,DA14 6BW,Lead,
Wisdom Support Limited,Wisdom Support Services Ltd,Domiciliary Care,Yes,1-1881922460 https://www.cqc.org.uk/location/1-1881922460,07735374344,DA14 5RH,Lead,
Yourlife Management Services Limited,YourLife (Sidcup),Domiciliary Care,Yes,1-4211223750 https://www.cqc.org.uk/location/1-4211223750,01202362303,DA14 4EF,Lead,
Avenues London,Avenues London (South),Supported Living,Yes,1-132159145 https://www.cqc.org.uk/location/1-132159145,02035350500,DA14 5TA,Lead,
Parkhill Support Services Ltd,Parkhill Support Services Main Road,Supported Living,Yes,1-8495598391 https://www.cqc.org.uk/location/1-8495598391,02083025848,DA14 6QL,Lead,
Bupa Care Homes (CFHCare) Limited,Abbotsleigh Mews Care Home,Nursing Home,Yes,1-127515214 https://www.cqc.org.uk/location/1-127515214,02083089590,DA15 8AY,Lead,
Karuna Care Limited,St Aubyns Nursing Home,Nursing Home,Yes,1-2027978636 https://www.cqc.org.uk/location/1-2027978636,02083004285,DA15 7HJ,Lead,
Quo Vadis Trust,Elmwood Lodge,Residential Care,Yes,1-118948069 https://www.cqc.org.uk/location/1-118948069,02083097905,DA15 7HD,Lead,
Choice Support,Howard Goble House,Residential Care,Yes,1-15199356067 https://www.cqc.org.uk/location/1-15199356067,02083083560,DA15 7NU,Lead,
Avante Care and Support Limited,Northbourne Court,Residential Care,Yes,1-128278735 https://www.cqc.org.uk/location/1-128278735,02082699840,DA15 7NU,Lead,
Yara Enterprises Limited,St. Margarets Residential Home,Residential Care,Yes,1-377969601 https://www.cqc.org.uk/location/1-377969601,02083002745,DA15 7HR,Lead,
Greenwich & Bexley Community Care Limited,Community Careline Services (Bexley) Ltd,Domiciliary Care,Yes,1-16515455676 https://www.cqc.org.uk/location/1-16515455676,02071838823,DA15 9PS,Lead,
TLC Home Care Solutions Ltd,TLC Home Care Solutions Ltd,Domiciliary Care,Yes,1-1997876758 https://www.cqc.org.uk/location/1-1997876758,01322466817,DA15 8NP,Lead,
Unique Personnel (U.K.) Limited,Unique Personnel (UK) Limited,Domiciliary Care,Yes,1-14929648165 https://www.cqc.org.uk/location/1-14929648165,02083032379,DA15 8PW,Lead,
Parkhill Support Services Ltd,Parkhill Support Services Ltd,Supported Living,Yes,1-8495597646 https://www.cqc.org.uk/location/1-8495597646,02083025848,DA15 9AD,Lead,
Avante Care and Support Limited,Riverdale Court,Residential Care,Yes,1-188269020 https://www.cqc.org.uk/location/1-188269020,02083179067,DA16 3BU,Lead,
Tansonns Limited,Bluebird Care (Bexley),Domiciliary Care,Yes,1-242575803 https://www.cqc.org.uk/location/1-242575803,02083129435,DA16 3PT,Lead,
Eleanor Nursing and Social Care Limited,Eleanor Nursing and Social Care Ltd - Bexley Office,Domiciliary Care,Yes,1-828853769 https://www.cqc.org.uk/location/1-828853769,02083030898,DA16 2PL,Lead,
Global Care Connections Ltd,Global Care Connections Ltd,Domiciliary Care,Yes,1-20295134302 https://www.cqc.org.uk/location/1-20295134302,02075664058,DA16 3PG,Lead,
Greenwich Care Limited,"Home Instead, Greenwich & Bexley",Domiciliary Care,Yes,1-2192456230 https://www.cqc.org.uk/location/1-2192456230,02037718424,DA16 3QR,Lead,
Rafah Healthcare LTD,Rafah Healthcare LTD - Bexley,Domiciliary Care,Yes,1-19363491473 https://www.cqc.org.uk/location/1-19363491473,02071753934,DA16 3PA,Lead,
Urban Cousins Care Limited,Urban Cousins Care Limited,Domiciliary Care,Yes,1-14877936041 https://www.cqc.org.uk/location/1-14877936041,07513349268,DA16 3QG,Lead,
Southside Partnership,Wadeville,Residential Care,Yes,1-11937795539 https://www.cqc.org.uk/location/1-11937795539,02073684600,DA17 5ND,Lead,
Experts Care Professionals Limited,Experts Care Professionals Limited,Domiciliary Care,Yes,1-22163525249 https://www.cqc.org.uk/location/1-22163525249,07931722804,DA17 5BQ,Lead,
Savannah Home Care Services Ltd,Savannah Home Care Services,Domiciliary Care,Yes,1-6775809765 https://www.cqc.org.uk/location/1-6775809765,07939480601,DA17 5BP,Lead,
Genesis Health and Social Care Services Limited,Genesis Health and Social Care Services Limited,Supported Living,Yes,1-22160096864 https://www.cqc.org.uk/location/1-22160096864,07438032785,DA17 6LN,Lead,
Abantu Healthcare Agency Ltd,Abantu Care Services,Domiciliary Care,Yes,1-2274528570 https://www.cqc.org.uk/location/1-2274528570,07957108731,DA18 4AL,Lead,
Accu-Care UK Ltd,Accu-Care UK - Main Office,Domiciliary Care,Yes,1-14509160415 https://www.cqc.org.uk/location/1-14509160415,,DA18 4AL,Lead,
Alwdo Assist Ltd,Alwdo Assist Ltd,Domiciliary Care,Yes,1-11639125530 https://www.cqc.org.uk/location/1-11639125530,02034417007,DA18 4AL,Lead,
CJ Nicholas Care Ltd,CJ Nicholas Care Ltd,Domiciliary Care,Yes,1-23514459338 https://www.cqc.org.uk/location/1-23514459338,07745889770,DA18 4HX,Lead,
Carefocal Ltd,Carefocal Ltd,Domiciliary Care,Yes,1-8320052756 https://www.cqc.org.uk/location/1-8320052756,02083201219,DA18 4AL,Lead,
Dream Community Personnel Limited,Dream Community Personnel Limited (Woolwich),Domiciliary Care,Yes,1-3981784751 https://www.cqc.org.uk/location/1-3981784751,02083201073,DA18 4AL,Lead,
Mulier Care Solutions Limited,Mulier Care,Domiciliary Care,Yes,1-2853741974 https://www.cqc.org.uk/location/1-2853741974,02083201169,DA18 4AL,Lead,
Solutions Embassy Limited,Solutions Embassy Limited,Domiciliary Care,Yes,1-8664685172 https://www.cqc.org.uk/location/1-8664685172,02083201008,DA18 4AL,Lead,
Peculiar Care Homes Limited,Studio 24,Domiciliary Care,Yes,1-2517113284 https://www.cqc.org.uk/location/1-2517113284,02083201010,DA18 4AL,Lead,
Angel Healthcare Professionals Ltd,The Engine House,Domiciliary Care,Yes,1-3852969630 https://www.cqc.org.uk/location/1-3852969630,07581415029,DA18 4AL,Lead,
Bondcare (London) Limited,Beechcare Incorporating the Peter Gidney Neurological Centre,Nursing Home,Yes,1-8612468649 https://www.cqc.org.uk/location/1-8612468649,01625417800,DA2 7QT,Lead,
Kentwood House Ltd,Kentwood House,Nursing Home,Yes,1-140506240 https://www.cqc.org.uk/location/1-140506240,01322279771,DA2 7QT,Lead,
Priory Mews Healthcare Limited,Priory Mews Care Home,Nursing Home,Yes,1-13366549077 https://www.cqc.org.uk/location/1-13366549077,03333214715,DA2 6EG,Lead,
Bupa Care Homes (CFChomes) Limited,Wilmington Manor Care Home,Nursing Home,Yes,1-130120840 https://www.cqc.org.uk/location/1-130120840,01322288746,DA2 7BA,Lead,
Woodford House Healthcare Limited,Woodford House,Nursing Home,Yes,1-13368594231 https://www.cqc.org.uk/location/1-13368594231,01322401030,DA2 6EG,Lead,
Nellsar Limited,Sonya Lodge Dementia Residential Care Home,Residential Care,Yes,1-122186194 https://www.cqc.org.uk/location/1-122186194,01322289768,DA2 7EG,Lead,
Atman Care LTD,Woodside Care Home,Residential Care,Yes,1-27098733870 https://www.cqc.org.uk/location/1-27098733870,07732686770,DA2 8AB,Lead,
Abitol Services Limited,Abitol Services Limited,Domiciliary Care,Yes,1-19377067427 https://www.cqc.org.uk/location/1-19377067427,,DA2 6QD,Lead,
Ceaseless Care Limited,Ceaseless Care Limited,Domiciliary Care,Yes,1-17583291130 https://www.cqc.org.uk/location/1-17583291130,02082281112,DA2 6QD,Lead,
Decimal Healthcare Services Limited,Decimal Healthcare Services - Main Office,Domiciliary Care,Yes,1-15070047172 https://www.cqc.org.uk/location/1-15070047172,03335779094,DA2 6HH,Lead,
Enspíra Ltd,Enspíra Ltd,Domiciliary Care,Yes,1-12673575419 https://www.cqc.org.uk/location/1-12673575419,07815602803,DA2 7WQ,Lead,
Eunison Care Ltd,Eunison Care Ltd Office,Domiciliary Care,Yes,1-19060296768 https://www.cqc.org.uk/location/1-19060296768,02038266178,DA2 6QD,Lead,
Everlasting Arms3327 Care Pvt Ltd,Everlasting Arms3327 Care Pvt Ltd,Domiciliary Care,Yes,1-6725678743 https://www.cqc.org.uk/location/1-6725678743,01322322033,DA2 6QD,Lead,
Fam Daily Care Ltd,Fam Daily Care Ltd,Domiciliary Care,Yes,1-5559102802 https://www.cqc.org.uk/location/1-5559102802,,DA2 6QD,Lead,
Gem Quality Care Ltd,Gem Quality Care Ltd,Domiciliary Care,Yes,1-28605456185 https://www.cqc.org.uk/location/1-28605456185,07931303849,DA2 6QD,Lead,
Harlon Healthcare Limited,Harlon Healthcare Limited,Domiciliary Care,Yes,1-14594650853 https://www.cqc.org.uk/location/1-14594650853,01322632652,DA2 6PA,Lead,
Haven247 Healthcare Limited,Haven247 Healthcare Limited,Domiciliary Care,Yes,1-5617750075 https://www.cqc.org.uk/location/1-5617750075,07810597041,DA2 6BH,Lead,
The Intrinsic Care Group Limited,Intrinsic Care- Dartford,Domiciliary Care,Yes,1-13401759424 https://www.cqc.org.uk/location/1-13401759424,01634931226,DA2 6QD,Lead,
Kent Carers Limited,Kent Carers Limited - Head Office,Domiciliary Care,Yes,1-433554121 https://www.cqc.org.uk/location/1-433554121,01322277944,DA2 7SL,Lead,
MCK Support Limited,MCK Support,Domiciliary Care,Yes,1-28957070711 https://www.cqc.org.uk/location/1-28957070711,01322643291,DA2 6QD,Lead,
Maplewood Independent Living Limited,Maplewood Independent Living Limited,Domiciliary Care,Yes,1-22097601271 https://www.cqc.org.uk/location/1-22097601271,01322470903,DA2 6QD,Lead,
Mission Health UK Limited,Mission Health UK Limited,Domiciliary Care,Yes,1-16531343828 https://www.cqc.org.uk/location/1-16531343828,0778267809,DA2 6QD,Lead,
Ola Prestige Care Services Ltd,Ola Prestige Care Services-Dartford.,Domiciliary Care,Yes,1-23500761535 https://www.cqc.org.uk/location/1-23500761535,,DA2 6QD,Lead,
Optionone Services UK Ltd,OptionOne Services UK LTD,Domiciliary Care,Yes,1-19897154265 https://www.cqc.org.uk/location/1-19897154265,079930751456,DA2 6QD,Lead,
RCB Homecare Group Limited,RCB Homecare Limited,Domiciliary Care,Yes,1-23889884797 https://www.cqc.org.uk/location/1-23889884797,01322935250,DA2 6EG,Lead,
Serene Touch Care Services Ltd,Serene Touch Care Services Ltd,Domiciliary Care,Yes,1-28603229775 https://www.cqc.org.uk/location/1-28603229775,02080900345,DA2 6QD,Lead,
Shabanie Socio-Healthcare Services Limited,Shabanie Socio-Healthcare Services Limited Head Office,Domiciliary Care,Yes,1-17926392343 https://www.cqc.org.uk/location/1-17926392343,,DA2 6QD,Lead,
Stellar Care Support Limited,Stellar Care Support Limited,Domiciliary Care,Yes,1-19611741152 https://www.cqc.org.uk/location/1-19611741152,,DA2 6QD,Lead,
Dartford Community Care Limited,SureCare Dartford & Gravesend,Domiciliary Care,Yes,1-20399982687 https://www.cqc.org.uk/location/1-20399982687,01322912347,DA2 6HH,Lead,
Triple Hearts Care Ltd,Triple Hearts Care Ltd,Domiciliary Care,Yes,1-19068312408 https://www.cqc.org.uk/location/1-19068312408,07852515784,DA2 6QD,Lead,
Zander Mackenzie Care U.K. Limited,Zander Mackenzie Care U.K. Limited,Domiciliary Care,Yes,1-10757577665 https://www.cqc.org.uk/location/1-10757577665,,DA2 6EF,Lead,
Liaise (London) Limited,Knoll House,Supported Living,Yes,1-21274478070 https://www.cqc.org.uk/location/1-21274478070,01322600520,DA2 7DE,Lead,
Serenity Supported Living Ltd,Serenity Supported Living,Supported Living,Yes,1-9580586855 https://www.cqc.org.uk/location/1-9580586855,,DA2 6QD,Lead,
Smartmove Homes Limited,Hazelwood Care Home,Nursing Home,Yes,1-112056211 https://www.cqc.org.uk/location/1-112056211,01474573800,DA3 7PW,Lead,
Russell Court Limited,Russell Court Nursing Home,Nursing Home,Yes,1-115959002 https://www.cqc.org.uk/location/1-115959002,01474708151,DA3 7RY,Lead,
Nellsar Limited,The Old Downs Care Centre,Nursing Home,Yes,1-122186071 https://www.cqc.org.uk/location/1-122186071,01474702146,DA3 7BH,Lead,
Bramblings (Kent) Limited,Bramblings Residential Home,Residential Care,Yes,1-142433590 https://www.cqc.org.uk/location/1-142433590,01474702332,DA3 7PE,Lead,
Mrs G L Reeve & Miss D M Reeve,Fairby Grange,Residential Care,Yes,1-2174257428 https://www.cqc.org.uk/location/1-2174257428,01474702223,DA3 8ER,Lead,
Bellus Care Limited,Bellus Care and Support,Domiciliary Care,Yes,1-12554095952 https://www.cqc.org.uk/location/1-12554095952,03302236294,DA3 7PJ,Lead,
Lifeline Health Limited,Community Lifeline,Domiciliary Care,Yes,1-125644806 https://www.cqc.org.uk/location/1-125644806,01474709000,DA3 7QA,Lead,
Longfield Integrated Care Centre Limited,Longfield Integrated Care Centre,Domiciliary Care,Yes,1-10984191735 https://www.cqc.org.uk/location/1-10984191735,01474705237,DA3 7PJ,Lead,
